titulo,precio,ubicacion,dorm,ban,sup
b'VENDO DEPARTAME',U$S 40.000, San Vicente ,1,1,45
b'GRAL PAZ-2 BALC',U$S 55.000, General Paz ,1,1,sin datos
b'GENERAL PAZ-CAT',U$S 60.000, General Paz ,1,1,sin datos
b'Tr\xc3\xa1nsito C\xc3\xa1ce',U$S 67.000, Nueva Córdoba ,1,1,45
b'B\xc2\xba LOMAS DE MA',U$S 130.000,sin ubicacion,3,3,130
b'\xe2\x80\xa2Gral PAZ\xe2\x80\xa2 ',U$S 63.000, General Paz ,1,sin datos,47
b'CASA MIRADORES ',U$S 211.000, Manantiales ,3,3,sin datos
b'VENDO DUPLEX EN',U$S 114.000,sin ubicacion,3,3,sin datos
b'VENTA- DUPLEX E',U$S 86.000, Docta Urbanización Inteligente ,2,2,sin datos
b'Condominio Prem',U$S 78.800, Chateau Carreras ,1,1,47
b'\xe2\x98\x85 2 Dormotori',U$S 105.000, General Paz ,2,2,75
b'EXCELENTE DPTO ',U$S 75.000, General Paz ,2,2,65
b'DEPARTAMENTO EN',U$S 140.000, Nueva Córdoba ,2,2,sin datos
b'KABALS VENDE DE',U$S 65.000, Nueva Córdoba ,1,1,49
b'KABAL&#039;S VE',U$S 120.000, Nueva Córdoba ,2,2,97
b'Milenica univ 3',U$S 79.000, Crisol Norte ,3,sin datos,95
b'Imperdible: 2Do',U$S 160.000, Nueva Córdoba ,2,1,86
b'VENDO Nva Nba V',U$S 46.000, Nueva Córdoba ,1,1,44
b'GENERAL PAZ-LIM',U$S 62.000, General Paz ,1,1,sin datos
b'COFICO-MEJOR UB',U$S 49.000, Cofico ,2,1,sin datos
b'Oportunidad \xe2\x98\x85',U$S 85.000, Manantiales ,2,2,117
b'Oportunidad Cen',U$S 49.500, Centro ,1,1,45
b'B\xc2\xba ALTO ALBERD',consultar, Alberdi ,3,2,80
b'Departamento en',U$S 46.000, Nueva Córdoba ,1,1,sin datos
b'Departamento en',U$S 46.000, Nueva Córdoba ,1,1,sin datos
b'En Venta Dpto. ',U$S 49.990, General Paz ,1,1,42
b'EN LA MEJOR ZON',U$S 149.000, Nuevo Poeta Lugones ,3,3,sin datos
b'VENDO DEPARTAME',U$S 85.000, Centro ,2,2,85
b'VENDO EXCELENTE',U$S 125.000, Lomas de Manantiales ,3,sin datos,sin datos
"b'Belgrano 327,  '",U$S 39.500, Centro ,1,1,48
b'Fontanas del Su',consultar, Tejas 1 ,1,1,65
b'B\xc2\xba GENERAL PAZ',U$S 109.000, General Paz ,2,2,73
b'Departamento 2 ',consultar, Tejas 1 ,2,2,sin datos
b'Nueva C\xc3\xb3rdoba ',U$S 75.000, Nueva Córdoba ,2,1,72
b'ALBERDI DPTO A ',U$S 40.000, Alto Alberdi ,1,1,45
"b'Edificio RODAS,'",U$S 210.000, Nueva Córdoba ,2,2,sin datos
b'DEPARTAMENTO DE',U$S 55.000, Alto Alberdi ,1,1,sin datos
b'MILENICA UNIV (',U$S 75.000, Crisol Norte ,2,2,70
b'VENTA DEPARTAME',U$S 135.000, Nueva Córdoba ,2,2,sin datos
b'MEDILAND VILLAG',U$S 265.000, Urca ,3,3,143
b'OPORTUNIDAD UNI',U$S 39.900, General Paz ,1,sin datos,66
b'2 Dormitorios a',U$S 57.000, Alto Alberdi ,2,1,68
b'EXCELENTE!! ROD',U$S 135.000, Nueva Córdoba ,2,2,1
b'OPORTUNIDAD! VE',U$S 47.500, Observatorio ,2,1,sin datos
b'M. T. DE ALVEAR',U$S 54.700, Nueva Córdoba ,1,1,41
b'Venta departame',U$S 54.000, General Paz ,1,1,45
b'VENDO 1 DORM NU',U$S 54.999, Nueva Córdoba ,1,1,46
b'VENDO NUEVA COR',U$S 45.000, Nueva Córdoba ,1,sin datos,41
b'VENDO DPTO 1 DO',U$S 40.000, Alto Alberdi ,1,1,44
b'ALTA CORDOBA-CA',U$S 50.000, Alta Córdoba ,1,1,sin datos
b'\xe2\x98\x85 Maitei- 1Do',U$S 115.000, Otro ,1,1,60
b'\xe2\x98\x85 Exclusiva V',U$S 75.000, General Paz ,2,2,80
b'\xe2\x9c\xad Enorme depa',U$S 120.000, General Paz ,2,2,80
b'CENTRO 2 DOR. A',U$S 137.000, Centro ,2,1,76
b'G\xc3\xbcemes Brava 0',U$S 60.000, Guemes ,1,1,40
b'Nueva C\xc3\xb3rdoba ',U$S 80.000, Nueva Córdoba ,1,1,43
b'Nueva C\xc3\xb3rdoba ',U$S 80.000, Nueva Córdoba ,1,1,42
b'Nueva C\xc3\xb3rdoba ',U$S 69.900, Nueva Córdoba ,1,1,sin datos
