precio,ubicacion,dorm,ban,sup,precio/m2,sup/ban
40000,San Vicente,1,1,45,888.8888888888889,45.0
67000,Nueva Córdoba,1,1,45,1488.888888888889,45.0
78800,Chateau Carreras,1,1,47,1676.595744680851,47.0
105000,General Paz,2,2,75,1400.0,37.5
75000,General Paz,2,2,65,1153.8461538461538,32.5
65000,Nueva Córdoba,1,1,49,1326.530612244898,49.0
120000,Nueva Córdoba,2,2,97,1237.1134020618556,48.5
160000,Nueva Córdoba,2,1,86,1860.4651162790697,86.0
46000,Nueva Córdoba,1,1,44,1045.4545454545455,44.0
49500,Centro,1,1,45,1100.0,45.0
49990,General Paz,1,1,42,1190.2380952380952,42.0
85000,Centro,2,2,85,1000.0,42.5
39500,Centro,1,1,48,822.9166666666666,48.0
109000,General Paz,2,2,73,1493.150684931507,36.5
75000,Nueva Córdoba,2,1,72,1041.6666666666667,72.0
40000,Alto Alberdi,1,1,45,888.8888888888889,45.0
75000,other,2,2,70,1071.4285714285713,35.0
57000,Alto Alberdi,2,1,68,838.2352941176471,68.0
54700,Nueva Córdoba,1,1,41,1334.1463414634147,41.0
54000,General Paz,1,1,45,1200.0,45.0
54999,Nueva Córdoba,1,1,46,1195.6304347826087,46.0
40000,Alto Alberdi,1,1,44,909.0909090909091,44.0
115000,Otro,1,1,60,1916.6666666666667,60.0
75000,General Paz,2,2,80,937.5,40.0
120000,General Paz,2,2,80,1500.0,40.0
137000,Centro,2,1,76,1802.6315789473683,76.0
60000,Guemes,1,1,40,1500.0,40.0
80000,Nueva Córdoba,1,1,43,1860.4651162790697,43.0
80000,Nueva Córdoba,1,1,42,1904.7619047619048,42.0
88500,General Paz,1,1,45,1966.6666666666667,45.0
43000,Cofico,1,1,45,955.5555555555555,45.0
120000,Nueva Córdoba,2,2,70,1714.2857142857142,35.0
85000,Alto Alberdi,2,2,95,894.7368421052631,47.5
57000,General Paz,1,1,43,1325.5813953488373,43.0
46000,Nueva Córdoba,1,1,44,1045.4545454545455,44.0
36000,Centro,1,1,44,818.1818181818181,44.0
60000,General Paz,1,1,43,1395.3488372093022,43.0
95000,General Paz,2,2,70,1357.142857142857,35.0
44900,Nueva Córdoba,1,1,37,1213.5135135135135,37.0
70000,Nueva Córdoba,1,1,40,1750.0,40.0
26000,Alberdi,1,1,40,650.0,40.0
60000,Alberdi,2,2,70,857.1428571428571,35.0
102000,Nueva Córdoba,1,1,47,2170.2127659574467,47.0
145000,other,2,2,76,1907.8947368421052,38.0
78000,Nueva Córdoba,1,1,53,1471.698113207547,53.0
56000,General Paz,1,1,43,1302.3255813953488,43.0
60000,General Paz,1,1,43,1395.3488372093022,43.0
62000,Nueva Córdoba,1,1,45,1377.7777777777778,45.0
42000,Providencia,1,1,45,933.3333333333334,45.0
55000,Nueva Córdoba,1,1,40,1375.0,40.0
64500,General Paz,1,1,55,1172.7272727272727,55.0
25000,General Paz,1,1,42,595.2380952380952,42.0
79000,Centro,2,2,70,1128.5714285714287,35.0
194000,Manantiales,3,2,90,2155.5555555555557,45.0
110000,Las Palmas,3,2,84,1309.5238095238096,42.0
51000,Otro,1,1,45,1133.3333333333333,45.0
37500,Alberdi,1,1,43,872.0930232558139,43.0
58900,General Paz,1,1,64,920.3125,64.0
36000,Centro,1,1,40,900.0,40.0
58000,Centro,2,1,49,1183.6734693877552,49.0
84999,Nueva Córdoba,1,1,41,2073.1463414634145,41.0
46500,Alta Córdoba,1,1,51,911.7647058823529,51.0
27000,Alberdi,1,1,40,675.0,40.0
58500,General Paz,1,1,51,1147.0588235294117,51.0
55000,General Paz,1,1,42,1309.5238095238096,42.0
75000,Nueva Córdoba,1,1,48,1562.5,48.0
85000,Nueva Córdoba,1,1,45,1888.888888888889,45.0
57000,General Paz,1,1,41,1390.2439024390244,41.0
47000,Nueva Córdoba,1,1,44,1068.1818181818182,44.0
60000,Guemes,1,1,44,1363.6363636363637,44.0
55000,General Paz,1,1,42,1309.5238095238096,42.0
125000,General Paz,1,1,70,1785.7142857142858,70.0
72000,Nueva Córdoba,1,1,42,1714.2857142857142,42.0
50000,Juniors,2,1,50,1000.0,50.0
35000,Centro,1,1,45,777.7777777777778,45.0
49000,Cofico,1,1,45,1088.888888888889,45.0
86000,Nueva Córdoba,1,1,54,1592.5925925925926,54.0
63000,Nueva Córdoba,1,1,45,1400.0,45.0
69000,Alta Córdoba,1,2,85,811.7647058823529,42.5
75200,Alta Córdoba,2,1,72,1044.4444444444443,72.0
123800,Chateau Carreras,2,2,74,1672.972972972973,37.0
42119,Cofico,1,1,42,1002.8333333333334,42.0
50050,Alta Córdoba,1,1,42,1191.6666666666667,42.0
36000,Pueyrredon,1,1,45,800.0,45.0
57000,General Paz,1,1,65,876.9230769230769,65.0
58500,General Paz,1,1,65,900.0,65.0
65000,Alta Córdoba,2,2,65,1000.0,32.5
43000,Alta Córdoba,1,1,45,955.5555555555555,45.0
